schema	name	kind
auth	provider_requests	table
auth	providers	table
auth	refresh_token_types	table
auth	refresh_tokens	table
auth	roles	table
auth	schema_migrations	table
auth	user_providers	table
auth	user_roles	table
auth	user_security_keys	table
auth	users	table
public	account_feature_permissions	table
public	account_subscriptions	table
public	account_users	table
public	accounts	table
public	alert_settings	table
public	appointments	table
public	audit_logs	table
public	chat_aliases	table
public	chat_attachments	table
public	chat_conversations	table
public	chat_delivery_receipts	table
public	chat_group_invitations	table
public	chat_messages	table
public	chat_participants	table
public	chat_reactions	table
public	chat_reads	table
public	chat_typing	table
public	complaints	table
public	consumption_types	table
public	consumptions	table
public	doctors	table
public	drugs	table
public	employees	table
public	employees_discounts	table
public	employees_loans	table
public	employees_salaries	table
public	financial_logs	table
public	item_types	table
public	items	table
public	medical_services	table
public	patient_services	table
public	patients	table
public	payment_methods	table
public	plan_features	table
public	prescription_items	table
public	prescriptions	table
public	profiles	table
public	purchases	table
public	returns	table
public	service_doctor_share	table
public	subscription_payments	table
public	subscription_plans	table
public	subscription_requests	table
public	super_admins	table
public	clinics	view
public	v_admin_list_clinics	view
public	v_auth_context	view
public	v_chat_conversations_for_me	view
public	v_chat_group_invitations_for_me	view
public	v_chat_last_message	view
public	v_chat_messages_with_attachments	view
public	v_chat_reads_for_me	view
public	v_chat_typing_active	view
public	v_debug_auth_context	view
public	v_is_super_admin	view
public	v_list_employees_with_email	view
public	v_my_account_id	view
public	v_my_account_plan	view
public	v_my_feature_permissions	view
public	v_my_profile	view
public	v_payment_methods	view
public	v_payment_stats	view
public	v_rpc_result	view
public	v_uuid_result	view
storage	buckets	table
storage	files	table
storage	schema_migrations	table
storage	virus	table
